asOfDate,price,currencyCode,__typename
2016-02-24,25.0,EUR,FundPrice
2016-02-25,24.9985,EUR,FundPrice
2016-02-26,25.0122,EUR,FundPrice
2016-02-27,25.0122,EUR,FundPrice
2016-02-28,25.0122,EUR,FundPrice
2016-02-29,25.0981,EUR,FundPrice
2016-03-01,25.0452,EUR,FundPrice
2016-03-02,24.9637,EUR,FundPrice
2016-03-03,24.9752,EUR,FundPrice
2016-03-04,24.932,EUR,FundPrice
2016-03-05,24.932,EUR,FundPrice
2016-03-06,24.932,EUR,FundPrice
2016-03-07,24.9457,EUR,FundPrice
2016-03-08,25.0023,EUR,FundPrice
2016-03-09,24.9505,EUR,FundPrice
2016-03-10,24.8764,EUR,FundPrice
2016-03-11,24.9827,EUR,FundPrice
2016-03-12,24.9827,EUR,FundPrice
2016-03-13,24.9827,EUR,FundPrice
2016-03-14,25.0083,EUR,FundPrice
2016-03-15,24.9327,EUR,FundPrice
2016-03-16,24.9804,EUR,FundPrice
2016-03-17,25.0697,EUR,FundPrice
2016-03-18,25.0951,EUR,FundPrice
2016-03-19,25.0951,EUR,FundPrice
2016-03-20,25.0951,EUR,FundPrice
2016-03-21,25.1013,EUR,FundPrice
2016-03-22,25.1109,EUR,FundPrice
2016-03-23,25.0961,EUR,FundPrice
2016-03-24,25.1224,EUR,FundPrice
2016-03-25,25.1224,EUR,FundPrice
2016-03-26,25.1224,EUR,FundPrice
2016-03-27,25.1224,EUR,FundPrice
2016-03-28,25.1297,EUR,FundPrice
2016-03-29,25.2194,EUR,FundPrice
2016-03-30,25.2086,EUR,FundPrice
2016-03-31,25.2102,EUR,FundPrice
2016-04-01,25.2404,EUR,FundPrice
2016-04-02,25.2404,EUR,FundPrice
2016-04-03,25.2404,EUR,FundPrice
2016-04-04,25.2475,EUR,FundPrice
2016-04-05,25.2686,EUR,FundPrice
2016-04-06,25.23,EUR,FundPrice
2016-04-07,25.1955,EUR,FundPrice
2016-04-08,25.2246,EUR,FundPrice
2016-04-09,25.2246,EUR,FundPrice
2016-04-10,25.2246,EUR,FundPrice
2016-04-11,25.1839,EUR,FundPrice
2016-04-12,25.1182,EUR,FundPrice
2016-04-13,25.1767,EUR,FundPrice
2016-04-14,25.1409,EUR,FundPrice
2016-04-15,25.1796,EUR,FundPrice
2016-04-16,25.1796,EUR,FundPrice
2016-04-17,25.1796,EUR,FundPrice
2016-04-18,25.162,EUR,FundPrice
2016-04-19,25.0943,EUR,FundPrice
2016-04-20,25.132,EUR,FundPrice
2016-04-21,25.0115,EUR,FundPrice
2016-04-22,24.9883,EUR,FundPrice
2016-04-23,24.9883,EUR,FundPrice
2016-04-24,24.9883,EUR,FundPrice
2016-04-25,24.9351,EUR,FundPrice
2016-04-26,24.9063,EUR,FundPrice
2016-04-27,24.9007,EUR,FundPrice
2016-04-28,24.9469,EUR,FundPrice
2016-04-29,24.91,EUR,FundPrice
2016-04-30,24.91,EUR,FundPrice
2016-05-01,24.91,EUR,FundPrice
2016-05-02,24.9461,EUR,FundPrice
2016-05-03,25.0473,EUR,FundPrice
2016-05-04,25.0252,EUR,FundPrice
2016-05-05,25.0394,EUR,FundPrice
2016-05-06,25.0708,EUR,FundPrice
2016-05-07,25.0708,EUR,FundPrice
2016-05-08,25.0708,EUR,FundPrice
2016-05-09,25.0931,EUR,FundPrice
2016-05-10,25.1185,EUR,FundPrice
2016-05-11,25.1089,EUR,FundPrice
2016-05-12,25.0598,EUR,FundPrice
2016-05-13,25.1047,EUR,FundPrice
2016-05-14,25.1047,EUR,FundPrice
2016-05-15,25.1047,EUR,FundPrice
2016-05-16,25.0888,EUR,FundPrice
2016-05-17,25.1267,EUR,FundPrice
2016-05-18,25.0696,EUR,FundPrice
2016-05-19,25.0604,EUR,FundPrice
2016-05-20,25.0663,EUR,FundPrice
2016-05-21,25.0663,EUR,FundPrice
2016-05-22,25.0663,EUR,FundPrice
2016-05-23,25.0582,EUR,FundPrice
2016-05-24,25.0971,EUR,FundPrice
2016-05-25,25.1771,EUR,FundPrice
2016-05-26,25.174,EUR,FundPrice
2016-05-27,25.179,EUR,FundPrice
2016-05-28,25.179,EUR,FundPrice
2016-05-29,25.179,EUR,FundPrice
2016-05-30,25.1435,EUR,FundPrice
2016-05-31,25.1703,EUR,FundPrice
2016-06-01,25.1809,EUR,FundPrice
2016-06-02,25.2008,EUR,FundPrice
2016-06-03,25.2805,EUR,FundPrice
2016-06-04,25.2805,EUR,FundPrice
2016-06-05,25.2805,EUR,FundPrice
2016-06-06,25.2426,EUR,FundPrice
2016-06-07,25.3132,EUR,FundPrice
2016-06-08,25.3366,EUR,FundPrice
2016-06-09,25.4066,EUR,FundPrice
2016-06-10,25.4243,EUR,FundPrice
2016-06-11,25.4243,EUR,FundPrice
2016-06-12,25.4243,EUR,FundPrice
2016-06-13,25.3361,EUR,FundPrice
2016-06-14,25.3443,EUR,FundPrice
2016-06-15,25.3565,EUR,FundPrice
2016-06-16,25.3359,EUR,FundPrice
2016-06-17,25.3197,EUR,FundPrice
2016-06-18,25.3197,EUR,FundPrice
2016-06-19,25.3197,EUR,FundPrice
2016-06-20,25.3429,EUR,FundPrice
2016-06-21,25.3423,EUR,FundPrice
2016-06-22,25.3354,EUR,FundPrice
2016-06-23,25.3242,EUR,FundPrice
2016-06-24,25.3913,EUR,FundPrice
2016-06-25,25.3913,EUR,FundPrice
2016-06-26,25.3913,EUR,FundPrice
2016-06-27,25.5504,EUR,FundPrice
2016-06-28,25.64,EUR,FundPrice
2016-06-29,25.6866,EUR,FundPrice
2016-06-30,25.7314,EUR,FundPrice
2016-07-01,25.7907,EUR,FundPrice
2016-07-02,25.7907,EUR,FundPrice
2016-07-03,25.7907,EUR,FundPrice
2016-07-04,25.7836,EUR,FundPrice
2016-07-05,25.8374,EUR,FundPrice
2016-07-06,25.8561,EUR,FundPrice
2016-07-07,25.8167,EUR,FundPrice
2016-07-08,25.8889,EUR,FundPrice
2016-07-09,25.8889,EUR,FundPrice
2016-07-10,25.8889,EUR,FundPrice
2016-07-11,25.8631,EUR,FundPrice
2016-07-12,25.7771,EUR,FundPrice
2016-07-13,25.8328,EUR,FundPrice
