price,asOfDate,currencyCode,__typename
207.2942,2024-10-11,GBP,FundPrice
206.9033,2024-10-10,GBP,FundPrice
206.8079,2024-10-09,GBP,FundPrice
205.9581,2024-10-08,GBP,FundPrice
206.2349,2024-10-07,GBP,FundPrice
206.5355,2024-10-04,GBP,FundPrice
206.2323,2024-10-03,GBP,FundPrice
205.6724,2024-10-02,GBP,FundPrice
205.6459,2024-10-01,GBP,FundPrice
205.0234,2024-09-30,GBP,FundPrice
205.7371,2024-09-27,GBP,FundPrice
205.0153,2024-09-26,GBP,FundPrice
204.1864,2024-09-25,GBP,FundPrice
204.5472,2024-09-24,GBP,FundPrice
204.1176,2024-09-23,GBP,FundPrice
204.2768,2024-09-20,GBP,FundPrice
205.3136,2024-09-19,GBP,FundPrice
203.5935,2024-09-18,GBP,FundPrice
204.5401,2024-09-17,GBP,FundPrice
204.3353,2024-09-16,GBP,FundPrice
204.2156,2024-09-13,GBP,FundPrice
203.9568,2024-09-12,GBP,FundPrice
203.3124,2024-09-11,GBP,FundPrice
202.2375,2024-09-10,GBP,FundPrice
201.8892,2024-09-09,GBP,FundPrice
200.1536,2024-09-06,GBP,FundPrice
201.8254,2024-09-05,GBP,FundPrice
202.0111,2024-09-04,GBP,FundPrice
203.2031,2024-09-03,GBP,FundPrice
204.5291,2024-09-02,GBP,FundPrice
204.723,2024-08-30,GBP,FundPrice
203.7588,2024-08-29,GBP,FundPrice
203.3042,2024-08-28,GBP,FundPrice
203.4834,2024-08-27,GBP,FundPrice
204.1936,2024-08-23,GBP,FundPrice
203.2505,2024-08-22,GBP,FundPrice
204.5371,2024-08-21,GBP,FundPrice
204.1381,2024-08-20,GBP,FundPrice
204.7554,2024-08-19,GBP,FundPrice
204.5542,2024-08-16,GBP,FundPrice
204.0737,2024-08-15,GBP,FundPrice
202.7966,2024-08-14,GBP,FundPrice
201.9629,2024-08-13,GBP,FundPrice
200.347,2024-08-12,GBP,FundPrice
200.497,2024-08-09,GBP,FundPrice
199.7984,2024-08-08,GBP,FundPrice
198.3827,2024-08-07,GBP,FundPrice
198.1671,2024-08-06,GBP,FundPrice
196.439,2024-08-05,GBP,FundPrice
200.4405,2024-08-02,GBP,FundPrice
203.0049,2024-08-01,GBP,FundPrice
203.9162,2024-07-31,GBP,FundPrice
201.8866,2024-07-30,GBP,FundPrice
202.0604,2024-07-29,GBP,FundPrice
201.5778,2024-07-26,GBP,FundPrice
200.0464,2024-07-25,GBP,FundPrice
200.271,2024-07-24,GBP,FundPrice
202.341,2024-07-23,GBP,FundPrice
202.4152,2024-07-22,GBP,FundPrice
201.3284,2024-07-19,GBP,FundPrice
202.151,2024-07-18,GBP,FundPrice
202.7113,2024-07-17,GBP,FundPrice
204.1979,2024-07-16,GBP,FundPrice
203.3503,2024-07-15,GBP,FundPrice
203.3542,2024-07-12,GBP,FundPrice
203.3706,2024-07-11,GBP,FundPrice
203.7058,2024-07-10,GBP,FundPrice
202.7259,2024-07-09,GBP,FundPrice
