asOfDate,price,currencyCode,__typename
2021-12-08,100.06,GBP,FundPrice
2021-12-09,99.7996,GBP,FundPrice
2021-12-10,100.088,GBP,FundPrice
2021-12-11,100.088,GBP,FundPrice
2021-12-12,100.088,GBP,FundPrice
2021-12-13,99.4973,GBP,FundPrice
2021-12-14,99.2829,GBP,FundPrice
2021-12-15,99.9579,GBP,FundPrice
2021-12-16,100.0469,GBP,FundPrice
2021-12-17,99.5991,GBP,FundPrice
2021-12-18,99.5991,GBP,FundPrice
2021-12-19,99.5991,GBP,FundPrice
2021-12-20,98.8839,GBP,FundPrice
2021-12-21,99.9051,GBP,FundPrice
2021-12-22,99.8377,GBP,FundPrice
2021-12-23,99.9912,GBP,FundPrice
2021-12-24,99.8559,GBP,FundPrice
2021-12-25,99.8559,GBP,FundPrice
2021-12-26,99.8559,GBP,FundPrice
2021-12-27,99.8559,GBP,FundPrice
2021-12-28,99.8559,GBP,FundPrice
2021-12-29,100.586,GBP,FundPrice
2021-12-30,100.3193,GBP,FundPrice
2021-12-31,99.9677,GBP,FundPrice
2022-01-01,99.9677,GBP,FundPrice
2022-01-02,99.9677,GBP,FundPrice
2022-01-03,99.9677,GBP,FundPrice
2022-01-04,101.1332,GBP,FundPrice
2022-01-05,100.5878,GBP,FundPrice
2022-01-06,100.7641,GBP,FundPrice
2022-01-07,100.5909,GBP,FundPrice
2022-01-08,100.5909,GBP,FundPrice
2022-01-09,100.5909,GBP,FundPrice
2022-01-10,100.3657,GBP,FundPrice
2022-01-11,100.635,GBP,FundPrice
2022-01-12,100.6096,GBP,FundPrice
2022-01-13,100.3661,GBP,FundPrice
2022-01-14,100.3225,GBP,FundPrice
2022-01-15,100.3225,GBP,FundPrice
2022-01-16,100.3225,GBP,FundPrice
2022-01-17,100.5895,GBP,FundPrice
2022-01-18,99.8792,GBP,FundPrice
2022-01-19,99.0049,GBP,FundPrice
2022-01-20,98.5415,GBP,FundPrice
2022-01-21,98.3671,GBP,FundPrice
2022-01-22,98.3671,GBP,FundPrice
2022-01-23,98.3671,GBP,FundPrice
2022-01-24,97.9162,GBP,FundPrice
2022-01-25,97.7365,GBP,FundPrice
2022-01-26,97.9536,GBP,FundPrice
2022-01-27,98.2323,GBP,FundPrice
2022-01-28,98.8215,GBP,FundPrice
2022-01-29,98.8215,GBP,FundPrice
2022-01-30,98.8215,GBP,FundPrice
2022-01-31,99.4703,GBP,FundPrice
2022-02-01,99.6667,GBP,FundPrice
2022-02-02,100.1555,GBP,FundPrice
2022-02-03,98.9657,GBP,FundPrice
2022-02-04,99.3381,GBP,FundPrice
2022-02-05,99.3381,GBP,FundPrice
2022-02-06,99.3381,GBP,FundPrice
2022-02-07,99.3939,GBP,FundPrice
2022-02-08,99.6858,GBP,FundPrice
2022-02-09,100.5638,GBP,FundPrice
2022-02-10,99.3493,GBP,FundPrice
2022-02-11,98.3736,GBP,FundPrice
2022-02-12,98.3736,GBP,FundPrice
2022-02-13,98.3736,GBP,FundPrice
2022-02-14,97.9575,GBP,FundPrice
2022-02-15,98.8965,GBP,FundPrice
2022-02-16,98.9295,GBP,FundPrice
2022-02-17,97.7872,GBP,FundPrice
2022-02-18,97.6777,GBP,FundPrice
2022-02-19,97.6777,GBP,FundPrice
2022-02-20,97.6777,GBP,FundPrice
2022-02-21,97.218,GBP,FundPrice
2022-02-22,96.7959,GBP,FundPrice
2022-02-23,96.1857,GBP,FundPrice
2022-02-24,96.4542,GBP,FundPrice
2022-02-25,97.6227,GBP,FundPrice
2022-02-26,97.6227,GBP,FundPrice
2022-02-27,97.6227,GBP,FundPrice
2022-02-28,97.3365,GBP,FundPrice
2022-03-01,96.0117,GBP,FundPrice
2022-03-02,97.0962,GBP,FundPrice
2022-03-03,96.5407,GBP,FundPrice
2022-03-04,95.9212,GBP,FundPrice
2022-03-05,95.9212,GBP,FundPrice
2022-03-06,95.9212,GBP,FundPrice
2022-03-07,94.0785,GBP,FundPrice
2022-03-08,93.8973,GBP,FundPrice
2022-03-09,95.888,GBP,FundPrice
2022-03-10,95.7741,GBP,FundPrice
2022-03-11,95.6431,GBP,FundPrice
2022-03-12,95.6431,GBP,FundPrice
2022-03-13,95.6431,GBP,FundPrice
2022-03-14,96.2528,GBP,FundPrice
2022-03-15,97.127,GBP,FundPrice
2022-03-16,98.4949,GBP,FundPrice
2022-03-17,99.2015,GBP,FundPrice
2022-03-18,99.2347,GBP,FundPrice
2022-03-19,99.2347,GBP,FundPrice
2022-03-20,99.2347,GBP,FundPrice
2022-03-21,98.8991,GBP,FundPrice
2022-03-22,99.2374,GBP,FundPrice
2022-03-23,98.8179,GBP,FundPrice
2022-03-24,99.3307,GBP,FundPrice
2022-03-25,99.4254,GBP,FundPrice
2022-03-26,99.4254,GBP,FundPrice
2022-03-27,99.4254,GBP,FundPrice
2022-03-28,100.3529,GBP,FundPrice
2022-03-29,101.4447,GBP,FundPrice
2022-03-30,101.0923,GBP,FundPrice
2022-03-31,99.995,GBP,FundPrice
2022-04-01,100.409,GBP,FundPrice
2022-04-02,100.409,GBP,FundPrice
2022-04-03,100.409,GBP,FundPrice
2022-04-04,100.4433,GBP,FundPrice
2022-04-05,99.363,GBP,FundPrice
2022-04-06,99.089,GBP,FundPrice
2022-04-07,99.2085,GBP,FundPrice
2022-04-08,99.874,GBP,FundPrice
2022-04-09,99.874,GBP,FundPrice
2022-04-10,99.874,GBP,FundPrice
2022-04-11,98.9892,GBP,FundPrice
2022-04-12,98.7038,GBP,FundPrice
2022-04-13,99.0312,GBP,FundPrice
2022-04-14,98.4783,GBP,FundPrice
2022-04-15,98.4783,GBP,FundPrice
2022-04-16,98.4783,GBP,FundPrice
2022-04-17,98.4783,GBP,FundPrice
2022-04-18,98.4783,GBP,FundPrice
2022-04-19,99.2044,GBP,FundPrice
2022-04-20,99.9342,GBP,FundPrice
2022-04-21,99.5487,GBP,FundPrice
2022-04-22,98.6378,GBP,FundPrice
2022-04-23,98.6378,GBP,FundPrice
2022-04-24,98.6378,GBP,FundPrice
2022-04-25,99.3239,GBP,FundPrice
2022-04-26,98.4472,GBP,FundPrice
2022-04-27,99.2418,GBP,FundPrice
2022-04-28,100.6908,GBP,FundPrice
2022-04-29,98.5567,GBP,FundPrice
