price,asOfDate,currencyCode,__typename
6.227,2024-10-11,EUR,FundPrice
6.1916,2024-10-10,EUR,FundPrice
6.2013,2024-10-09,EUR,FundPrice
6.1584,2024-10-08,EUR,FundPrice
6.1738,2024-10-07,EUR,FundPrice
6.1654,2024-10-04,EUR,FundPrice
6.1411,2024-10-03,EUR,FundPrice
6.2017,2024-10-02,EUR,FundPrice
6.2074,2024-10-01,EUR,FundPrice
6.2408,2024-09-30,EUR,FundPrice
6.3016,2024-09-27,EUR,FundPrice
6.2735,2024-09-26,EUR,FundPrice
6.196,2024-09-25,EUR,FundPrice
6.1972,2024-09-24,EUR,FundPrice
6.165,2024-09-23,EUR,FundPrice
6.151,2024-09-20,EUR,FundPrice
6.2444,2024-09-19,EUR,FundPrice
6.1634,2024-09-18,EUR,FundPrice
6.1944,2024-09-17,EUR,FundPrice
6.1712,2024-09-16,EUR,FundPrice
6.1796,2024-09-13,EUR,FundPrice
6.1298,2024-09-12,EUR,FundPrice
6.0829,2024-09-11,EUR,FundPrice
6.0847,2024-09-10,EUR,FundPrice
6.1179,2024-09-09,EUR,FundPrice
6.0766,2024-09-06,EUR,FundPrice
6.1324,2024-09-05,EUR,FundPrice
6.1674,2024-09-04,EUR,FundPrice
6.23,2024-09-03,EUR,FundPrice
6.2866,2024-09-02,EUR,FundPrice
6.2853,2024-08-30,EUR,FundPrice
6.2719,2024-08-29,EUR,FundPrice
6.2232,2024-08-28,EUR,FundPrice
6.2022,2024-08-27,EUR,FundPrice
6.1917,2024-08-26,EUR,FundPrice
6.1978,2024-08-23,EUR,FundPrice
6.1712,2024-08-22,EUR,FundPrice
6.1438,2024-08-21,EUR,FundPrice
6.1233,2024-08-20,EUR,FundPrice
6.1449,2024-08-19,EUR,FundPrice
6.1113,2024-08-16,EUR,FundPrice
6.0903,2024-08-15,EUR,FundPrice
6.0159,2024-08-14,EUR,FundPrice
5.9828,2024-08-13,EUR,FundPrice
5.9472,2024-08-12,EUR,FundPrice
5.9565,2024-08-09,EUR,FundPrice
5.9173,2024-08-08,EUR,FundPrice
5.9103,2024-08-07,EUR,FundPrice
5.8274,2024-08-06,EUR,FundPrice
5.8063,2024-08-05,EUR,FundPrice
5.9333,2024-08-02,EUR,FundPrice
6.11,2024-08-01,EUR,FundPrice
6.1747,2024-07-31,EUR,FundPrice
6.1341,2024-07-30,EUR,FundPrice
6.1007,2024-07-29,EUR,FundPrice
6.1024,2024-07-26,EUR,FundPrice
6.0568,2024-07-25,EUR,FundPrice
6.1015,2024-07-24,EUR,FundPrice
6.1388,2024-07-23,EUR,FundPrice
6.1265,2024-07-22,EUR,FundPrice
6.064,2024-07-19,EUR,FundPrice
6.11,2024-07-18,EUR,FundPrice
6.1185,2024-07-17,EUR,FundPrice
6.1594,2024-07-16,EUR,FundPrice
6.1707,2024-07-15,EUR,FundPrice
6.2254,2024-07-12,EUR,FundPrice
6.1719,2024-07-11,EUR,FundPrice
6.135,2024-07-10,EUR,FundPrice
6.0789,2024-07-09,EUR,FundPrice
6.1266,2024-07-08,EUR,FundPrice
6.1203,2024-07-05,EUR,FundPrice
6.119,2024-07-04,EUR,FundPrice
6.0887,2024-07-03,EUR,FundPrice
6.0493,2024-07-02,EUR,FundPrice
6.0794,2024-07-01,EUR,FundPrice
6.0695,2024-06-28,EUR,FundPrice
6.0814,2024-06-27,EUR,FundPrice
6.1033,2024-06-26,EUR,FundPrice
6.1331,2024-06-25,EUR,FundPrice
6.1508,2024-06-24,EUR,FundPrice
6.1078,2024-06-21,EUR,FundPrice
6.151,2024-06-20,EUR,FundPrice
6.0965,2024-06-19,EUR,FundPrice
6.1105,2024-06-18,EUR,FundPrice
6.0713,2024-06-17,EUR,FundPrice
6.0689,2024-06-14,EUR,FundPrice
6.1154,2024-06-13,EUR,FundPrice
