price,asOfDate,currencyCode,__typename
66.4507,2024-10-11,USD,FundPrice
66.3346,2024-10-10,USD,FundPrice
65.5739,2024-10-09,USD,FundPrice
66.1853,2024-10-08,USD,FundPrice
67.7675,2024-10-07,USD,FundPrice
67.5083,2024-10-04,USD,FundPrice
66.9992,2024-10-03,USD,FundPrice
67.9646,2024-10-02,USD,FundPrice
66.8624,2024-10-01,USD,FundPrice
66.7515,2024-09-30,USD,FundPrice
66.6279,2024-09-27,USD,FundPrice
65.8925,2024-09-26,USD,FundPrice
64.4931,2024-09-25,USD,FundPrice
64.104,2024-09-24,USD,FundPrice
62.8787,2024-09-23,USD,FundPrice
62.6248,2024-09-20,USD,FundPrice
62.2571,2024-09-19,USD,FundPrice
61.4604,2024-09-18,USD,FundPrice
61.6413,2024-09-17,USD,FundPrice
61.3937,2024-09-16,USD,FundPrice
61.1622,2024-09-13,USD,FundPrice
60.8164,2024-09-12,USD,FundPrice
59.9447,2024-09-11,USD,FundPrice
60.1784,2024-09-10,USD,FundPrice
60.1197,2024-09-09,USD,FundPrice
60.696,2024-09-06,USD,FundPrice
60.7175,2024-09-05,USD,FundPrice
60.5284,2024-09-04,USD,FundPrice
61.2271,2024-09-03,USD,FundPrice
61.4516,2024-09-02,USD,FundPrice
61.7168,2024-08-30,USD,FundPrice
61.403,2024-08-29,USD,FundPrice
61.4714,2024-08-28,USD,FundPrice
61.612,2024-08-27,USD,FundPrice
61.8405,2024-08-26,USD,FundPrice
61.67,2024-08-23,USD,FundPrice
61.6357,2024-08-22,USD,FundPrice
61.6727,2024-08-21,USD,FundPrice
61.8531,2024-08-20,USD,FundPrice
61.8772,2024-08-19,USD,FundPrice
61.4705,2024-08-16,USD,FundPrice
60.6209,2024-08-15,USD,FundPrice
60.6421,2024-08-14,USD,FundPrice
60.4207,2024-08-13,USD,FundPrice
60.3576,2024-08-12,USD,FundPrice
60.0966,2024-08-09,USD,FundPrice
59.2154,2024-08-08,USD,FundPrice
59.4131,2024-08-07,USD,FundPrice
58.3209,2024-08-06,USD,FundPrice
57.6049,2024-08-05,USD,FundPrice
59.6682,2024-08-02,USD,FundPrice
60.9085,2024-08-01,USD,FundPrice
60.7781,2024-07-31,USD,FundPrice
60.1226,2024-07-30,USD,FundPrice
60.3588,2024-07-29,USD,FundPrice
60.2076,2024-07-26,USD,FundPrice
60.3057,2024-07-25,USD,FundPrice
60.6506,2024-07-24,USD,FundPrice
60.8446,2024-07-23,USD,FundPrice
60.8341,2024-07-22,USD,FundPrice
60.9398,2024-07-19,USD,FundPrice
61.8005,2024-07-18,USD,FundPrice
62.0925,2024-07-17,USD,FundPrice
62.3563,2024-07-16,USD,FundPrice
62.4983,2024-07-15,USD,FundPrice
62.7113,2024-07-12,USD,FundPrice
62.614,2024-07-11,USD,FundPrice
61.8569,2024-07-10,USD,FundPrice
61.8536,2024-07-09,USD,FundPrice
61.6171,2024-07-08,USD,FundPrice
61.432,2024-07-05,USD,FundPrice
61.543,2024-07-04,USD,FundPrice
60.9857,2024-07-03,USD,FundPrice
60.2361,2024-07-02,USD,FundPrice
60.5492,2024-07-01,USD,FundPrice
60.4583,2024-06-28,USD,FundPrice
60.274,2024-06-27,USD,FundPrice
60.5158,2024-06-26,USD,FundPrice
60.5204,2024-06-25,USD,FundPrice
60.5044,2024-06-24,USD,FundPrice
60.6576,2024-06-21,USD,FundPrice
61.0592,2024-06-20,USD,FundPrice
61.0409,2024-06-19,USD,FundPrice
60.3953,2024-06-18,USD,FundPrice
59.995,2024-06-17,USD,FundPrice
60.1232,2024-06-14,USD,FundPrice
60.0175,2024-06-13,USD,FundPrice
59.6501,2024-06-12,USD,FundPrice
59.545,2024-06-11,USD,FundPrice
59.7856,2024-06-10,USD,FundPrice
59.8256,2024-06-07,USD,FundPrice
59.9405,2024-06-06,USD,FundPrice
59.3648,2024-06-05,USD,FundPrice
58.6992,2024-06-04,USD,FundPrice
59.8461,2024-06-03,USD,FundPrice
58.7666,2024-05-31,USD,FundPrice
59.2041,2024-05-30,USD,FundPrice
59.8538,2024-05-29,USD,FundPrice
60.5958,2024-05-28,USD,FundPrice
60.7961,2024-05-27,USD,FundPrice
60.502,2024-05-24,USD,FundPrice
60.8405,2024-05-23,USD,FundPrice
61.0791,2024-05-22,USD,FundPrice
60.9586,2024-05-21,USD,FundPrice
61.3795,2024-05-20,USD,FundPrice
61.2653,2024-05-17,USD,FundPrice
60.9696,2024-05-16,USD,FundPrice
60.3226,2024-05-15,USD,FundPrice
60.0841,2024-05-14,USD,FundPrice
59.9236,2024-05-13,USD,FundPrice
59.5341,2024-05-10,USD,FundPrice
59.0107,2024-05-09,USD,FundPrice
59.1033,2024-05-08,USD,FundPrice
59.2258,2024-05-07,USD,FundPrice
59.3681,2024-05-06,USD,FundPrice
59.0943,2024-05-03,USD,FundPrice
58.6134,2024-05-02,USD,FundPrice
58.1278,2024-05-01,USD,FundPrice
58.1416,2024-04-30,USD,FundPrice
58.4435,2024-04-29,USD,FundPrice
57.8913,2024-04-26,USD,FundPrice
57.1774,2024-04-25,USD,FundPrice
57.3402,2024-04-24,USD,FundPrice
56.6457,2024-04-23,USD,FundPrice
56.187,2024-04-22,USD,FundPrice
