price,asOfDate,currencyCode,__typename
5.5591,2024-10-11,EUR,FundPrice
5.5597,2024-10-10,EUR,FundPrice
5.5581,2024-10-09,EUR,FundPrice
5.5589,2024-10-08,EUR,FundPrice
5.5583,2024-10-07,EUR,FundPrice
5.564,2024-10-04,EUR,FundPrice
5.5795,2024-10-03,EUR,FundPrice
5.582,2024-10-02,EUR,FundPrice
5.5926,2024-10-01,EUR,FundPrice
5.5733,2024-09-30,EUR,FundPrice
5.5686,2024-09-27,EUR,FundPrice
5.5615,2024-09-26,EUR,FundPrice
5.5576,2024-09-25,EUR,FundPrice
5.5702,2024-09-24,EUR,FundPrice
5.5576,2024-09-23,EUR,FundPrice
5.5416,2024-09-20,EUR,FundPrice
5.5505,2024-09-19,EUR,FundPrice
5.5368,2024-09-18,EUR,FundPrice
5.5446,2024-09-17,EUR,FundPrice
5.548,2024-09-16,EUR,FundPrice
5.5374,2024-09-13,EUR,FundPrice
5.5335,2024-09-12,EUR,FundPrice
5.5469,2024-09-11,EUR,FundPrice
5.5416,2024-09-10,EUR,FundPrice
5.5388,2024-09-09,EUR,FundPrice
5.5362,2024-09-06,EUR,FundPrice
5.5222,2024-09-05,EUR,FundPrice
5.5203,2024-09-04,EUR,FundPrice
5.508,2024-09-03,EUR,FundPrice
5.4949,2024-09-02,EUR,FundPrice
5.5044,2024-08-30,EUR,FundPrice
5.505,2024-08-29,EUR,FundPrice
5.506,2024-08-28,EUR,FundPrice
5.502,2024-08-27,EUR,FundPrice
5.5072,2024-08-26,EUR,FundPrice
5.512,2024-08-23,EUR,FundPrice
5.5037,2024-08-22,EUR,FundPrice
5.5129,2024-08-21,EUR,FundPrice
5.507,2024-08-20,EUR,FundPrice
5.4961,2024-08-19,EUR,FundPrice
5.4958,2024-08-16,EUR,FundPrice
5.4882,2024-08-15,EUR,FundPrice
5.5058,2024-08-14,EUR,FundPrice
5.5048,2024-08-13,EUR,FundPrice
5.4918,2024-08-12,EUR,FundPrice
5.4947,2024-08-09,EUR,FundPrice
5.486,2024-08-08,EUR,FundPrice
5.4849,2024-08-07,EUR,FundPrice
5.4908,2024-08-06,EUR,FundPrice
5.4858,2024-08-05,EUR,FundPrice
5.5079,2024-08-02,EUR,FundPrice
5.5036,2024-08-01,EUR,FundPrice
5.4898,2024-07-31,EUR,FundPrice
5.4817,2024-07-30,EUR,FundPrice
5.4746,2024-07-29,EUR,FundPrice
5.4661,2024-07-26,EUR,FundPrice
5.4631,2024-07-25,EUR,FundPrice
5.4579,2024-07-24,EUR,FundPrice
5.4528,2024-07-23,EUR,FundPrice
5.4408,2024-07-22,EUR,FundPrice
5.4445,2024-07-19,EUR,FundPrice
5.4539,2024-07-18,EUR,FundPrice
5.4461,2024-07-17,EUR,FundPrice
5.4454,2024-07-16,EUR,FundPrice
5.4405,2024-07-15,EUR,FundPrice
5.4349,2024-07-12,EUR,FundPrice
5.4422,2024-07-11,EUR,FundPrice
5.4235,2024-07-10,EUR,FundPrice
5.4164,2024-07-09,EUR,FundPrice
5.4242,2024-07-08,EUR,FundPrice
5.4181,2024-07-05,EUR,FundPrice
5.4039,2024-07-04,EUR,FundPrice
5.409,2024-07-03,EUR,FundPrice
5.3905,2024-07-02,EUR,FundPrice
5.3873,2024-07-01,EUR,FundPrice
5.3964,2024-06-28,EUR,FundPrice
5.4019,2024-06-27,EUR,FundPrice
5.3987,2024-06-26,EUR,FundPrice
5.4049,2024-06-25,EUR,FundPrice
5.401,2024-06-24,EUR,FundPrice
